CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_HLMT_TYPE,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PASSNGR_IND,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_HLMT_TYPE,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_TRAIL_IND,UNIT_NUM
2005039153,,,,,,,,,,,U,,,,,,,,,1
2005052387,N,Y,U,Y,U,Y,1.0,Y,Y,01100,N,,,,,,,,N,1
2005057537,,,,,,,,,,,,,,,,,,,,1
2005064964,,,,,,,,,,,,,,,,,,,,2
2005065545,,,,,,,,,,,,,,,,,,,,2
2005065598,U,U,U,Y,,,9.0,U,U,99999,N,,,,,,,,U,2
2005065630,,,,,,,,,,,,,,,,,,,,1
2005066040,,,,,,,,,,,,,,,,,,,,1
2005066147,,,,,,,,,,,,,,,,,,,,1
2005066360,,,,,,,,,,,,,,,,,,,,2
2005067960,U,N,U,U,,,9.0,Y,U,99999,N,,,,,,,,U,2
2005071128,U,U,U,U,,,9.0,U,U,99999,N,,,,,,,,U,1
2005071568,,,,,,,,,,,,,,,,,,,,2
2005074537,N,Y,N,Y,Y,Y,1.0,Y,Y,00645,N,,,,,,,,N,2
2005080377,N,N,N,N,,,0.0,Y,Y,01000,N,,,,,,,,N,1
2005089875,Y,Y,Y,Y,Y,Y,1.0,Y,Y,00800,N,,,,,,,,N,2
2005096227,N,Y,U,Y,Y,Y,2.0,Y,Y,00901,Y,U,N,N,N,0.0,Y,N,N,1
2005096567,N,Y,Y,N,,,0.0,Y,Y,99999,N,,,,,,,,N,1
2005098233,U,U,U,Y,U,U,9.0,U,U,99999,N,,,,,,,,U,1
2005098283,,,,,,,,,,,,,,,,,,,,2
2005099311,,,,,,,,,,,,,,,,,,,,2
2005100113,U,U,U,N,,,0.0,U,U,99999,N,,,,,,,,U,1
2005100133,Y,N,U,N,,,0.0,Y,Y,99999,N,,,,,,,,N,1
2005100722,,,,,,,,,,,,,,,,,,,,2
2005100954,,,,,,,,,,,,,,,,,,,,2
2005101280,,,,,,,,,,,,,,,,,,,,2
2005101653,Y,U,U,Y,U,Y,1.0,Y,Y,99999,N,,,,,,,,N,1
2005101667,,,,,,,,,,,,,,,,,,,,1
2005102113,,,,,,,,,,,,,,,,,,,,2
2005103712,,,,,,,,,,,,,,,,,,,,2
2005103717,U,U,U,U,,,9.0,U,U,99999,N,,,,,,,,U,1
2005104686,U,U,U,N,,,0.0,U,U,99999,N,,,,,,,,U,1
2005104863,Y,Y,Y,Y,U,U,0.0,Y,Y,01450,Y,U,U,U,U,9.0,U,U,N,2
2005105037,,,,,,,,,,,,,,,,,,,,2
2005105076,N,U,U,U,U,Y,1.0,Y,Y,00750,N,,,,,,,,N,2
2005105225,,,,,,,,,,,,,,,,,,,,1
