CRN,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TAG_YR,TRL_VEH_TYPE_CD,UNIT_NUM
2005003034,,0,IA,RY9941,2005,7.0,1
2005009365,,0,,,,1.0,1
2005037450,,0,NY,903Q36,,7.0,1
2005037450,,0,NY,75O4B5,,7.0,2
2005038479,,0,,,,7.0,1
2005042122,,0,,QW1E,,7.0,2
2005042159,,0,,,,,2
2005043981,,0,,W,,,1
2005046114,,0,NJ,T95T8Z,2000,3.0,2
2005055058,,0,,MW,,,2
2005055667,,0,,,,,1
2005057537,,0,,A28650,,7.0,1
2005057538,,0,ME,0789393,,7.0,1
2005059993,,0,PU,T6S7PH,,6.0,1
2005060737,,0,,,,,1
2005060772,,0,,,,,1
2005060823,,0,,,,,1
2005061110,,0,,,,1.0,1
2005061115,,0,,,,,1
2005061457,,0,,,,,1
2005061466,,0,,,,,1
2005061466,,0,,,,,2
2005061486,,0,,B,,,1
2005061586,,0,,,,,1
2005061608,,0,,,,,1
2005061608,,0,,,,,2
2005061609,,0,,,,,2
2005061615,,0,,JPUU,,9.0,2
2005061631,,0,,,,,1
2005061854,,0,,J,,,1
2005061870,,0,E,,,,1
2005061888,,0,,,,,1
2005061888,,0,,,,,2
2005061906,,0,,,,,2
2005062052,,0,,,,,2
2005062064,,0,,,,,1
2005062079,,0,,,,,1
2005062172,,0,,I,,,2
2005062439,,0,,,,,2
2005062514,,0,,,,,2
2005062566,,0,,,,,1
2005062584,,0,,,,,2
2005062712,,0,,,,,2
2005062715,,0,,HB,,,2
2005063334,,0,,,,,1
2005063510,,0,,,,,2
2005063762,,0,,,,,1
2005064056,,0,,,,,2
2005064119,,0,,,,,1
2005064287,,0,,,,,4
2005064287,,0,,,,,6
2005064532,,0,X,T11G9,,6.0,1
2005064547,,0,,ZB62,,6.0,2
2005064628,,0,,,,,2
2005064629,,0,,,,,2
2005064632,,0,,,,,2
2005064648,,0,,,,,1
2005064659,,0,,,,,2
2005064663,,0,,,,,2
2005064665,,0,,,,,2
2005064668,,0,FL,,2001,7.0,2
2005064726,,0,A,,,,2
2005064806,,0,,J,,,1
2005064806,,0,,I,,,2
2005064874,,0,,,,,2
2005064902,,0,,,,,1
2005064909,,0,,XS726I,,3.0,1
2005064937,,0,,,,,1
2005064937,,0,,,,,2
2005064948,,0,,,,,1
2005064949,,0,,,,,2
2005065218,,0,,,,,1
2005065218,,0,AL,Q6K04,2006,6.0,2
2005065220,,0,,,,,1
2005065221,,0,,,,,2
2005065254,,0,O,6,,,2
2005065531,,0,TX,884372,2005,7.0,2
2005065543,,0,,,,,2
2005065571,,0,,I68,,6.0,2
2005065612,,0,,1,,,2
2005065616,,0,,,,,1
2005065616,,0,,,,,2
2005065616,,0,,,,,4
2005065629,,0,,,,,1
2005065629,,0,,,,,2
2005065747,,0,,,,,1
