objectid,stname,length_ft,Shape__Length
1,10TH,3219.85920688,1283.42088917677
2,12TH,8041.6140884,3205.35138141797
3,15TH,9219.35308969,3674.76063760008
4,17TH,8488.10158129,3385.32627071027
5,17TH,4244.98847294,1691.48761745617
6,26TH,4965.36419284,1977.9916174132
7,29TH,8974.94430422,3579.52717032651
8,2ND,10774.36723977,4297.63848051699
9,33RD,8972.3041468,3577.36001555554
10,47TH,5226.66059225,2081.46742867651
11,49TH,8774.86593324,3494.28713986699
12,52ND,16780.76650718,6685.80715828388
13,53RD,7493.91679675,2987.62066495186
14,54TH,5236.31636289,2083.29968496953
15,54TH,3956.07435816,1577.50341131092
16,55TH,3518.44021837,1402.51246234245
17,56TH,5731.23911205,2284.62002770102
18,58TH,4897.91879638,1952.30006213154
19,59TH,7688.43122105,3065.22302181246
20,UNIVERSITY,2602.45004525,1037.40520359632
21,5TH,23981.07047258,9568.55311211252
22,61ST,4814.913629,1912.90698346969
23,63RD,5083.05031879,2020.61821548784
24,63RD,8461.00772212,3373.63675076432
25,65TH,4413.08042781,1754.25075490061
26,66TH,4338.46533614,1725.39236381274
27,6TH,4144.22676207,1652.88721001741
28,ARAMINGO,19945.63847184,7938.76898157862
29,70TH,6663.36514848,2650.42910319704
30,84TH,4456.65378268,1770.24612955063
31,9TH,9614.67831788,3836.00299513798
32,ACADEMY,11828.37644002,4719.22519258177
33,ALLEGHENY,29649.71830449,11791.3555807353
34,ARCH,7218.38189641,2866.91781084502
35,BALTIMORE,7400.2508531,2938.73171259453
36,BARTRAM,10137.31254151,4026.94074270424
37,BELFIELD,9836.00511605,3918.00363840599
38,BELMONT,11569.06289774,4613.27110235249
39,CALLOWHILL,4029.12792194,1600.13082464323
40,BENJAMIN FRANKLIN,5283.29186764,2102.06784366227
41,BERKS,4056.90782421,1611.67514558254
42,BRIDGE,6694.20264633,2669.61764186679
43,BROAD,17698.86517075,7052.01627581664
44,CASTOR,8972.29518948,3576.46505041371
45,BROAD,40651.38143349,16216.6348415894
46,BUIST,7391.18448041,2938.87325390604
47,BUSTLETON,23695.72897329,9459.50614557619
48,BUSTLETON,13936.75404567,5558.4078040337
49,CASTOR,13685.14290263,5454.83129645402
50,CECIL B MOORE,8454.88147976,3358.83854125009
51,CEDAR,6193.95652097,2459.61329844562
52,CHELTEN,13660.26290041,5442.29095137738
53,CHELTENHAM,22602.32051641,9003.75848272466
54,CHESTER,5518.50064992,2194.65768547129
55,CHESTNUT,6325.91439132,2511.99543132333
56,CHESTNUT,15701.74290164,6235.71433048647
57,CHEW,11396.59249625,4538.77405418906
58,CITY,17974.81175183,7150.26653483476
59,CLEARFIELD,9734.72496274,3874.22797653209
60,COBBS CREEK,22261.54393133,8861.91589594912
61,I,5007.18181514,1997.49111421373
62,COTTMAN,22945.28242775,9139.20267552101
63,CUMBERLAND,4521.88567342,1796.8541448869
64,DAUPHIN,5348.63024735,2125.08697112756
65,DELAWARE,24139.80347321,9614.33392889665
66,MARKET,9834.03846086,3905.61276387222
67,ERIE,34490.4118646,13717.5399970913
68,ERIE,4533.28788479,1801.72283484826
69,FOX,4583.96807613,1826.68141943344
70,FRANKFORD,52851.01970882,21039.2506164436
71,RICHMOND,12221.50063049,4861.40524538042
72,FRONT,13802.22309289,5505.80329435355
73,G,3028.2072351,1208.10041236888
74,GERMANTOWN,3780.59478938,1507.89072958901
75,GERMANTOWN,9524.27527732,3798.02810325538
76,GERMANTOWN,2577.99529244,1026.34860253818
77,GIRARD,9718.3580713,3860.38431922665
78,GIRARD,5685.25913252,2258.39909744648
79,GIRARD,13178.01312246,5235.11249523663
80,GLENWOOD,8786.98634385,3494.18541017348
81,GODFREY,13928.17378977,5544.54812121014
82,GRANT,13773.03286169,5485.78513760241
83,GRAYS FERRY,5433.90961326,2157.57276609588
84,GREENE,7189.28122324,2862.54022280364
85,RIDGE,6854.91192328,2736.16629485382
86,HARBISON,11305.32059898,4509.44017984126
87,HAVERFORD,5410.50517934,2149.9479726728
88,HENRY,16234.4654193,6468.95184924736
89,HENRY,3531.58051815,1407.05272006713
90,HOLME,10190.75692178,4053.70919482856
91,HUNTING PARK,17265.60578517,6864.78125725071
92,INDIANA,3496.04612007,1389.21190383065
93,ISLAND,9302.81174917,3704.23315807241
94,K,3413.06411013,1361.53448542736
95,KELLY,46938.31439352,9344.42300521712
96,KENSINGTON,13956.67341847,5552.84242255309
97,KINGSESSING,8516.51321746,3386.97749542267
