"Time","Matcha latte"
"2025-05-04",0
"2025-05-11",0
"2025-05-18",0
"2025-05-25",0
"2025-06-01",0
"2025-06-08",0
"2025-06-15",0
"2025-06-22",0
"2025-06-29",2
"2025-07-06",13
"2025-07-13",33
"2025-07-20",76
"2025-07-27",84
"2025-08-03",70
"2025-08-10",63
"2025-08-17",61
"2025-08-24",57
"2025-08-31",56
"2025-09-07",50
"2025-09-14",49
"2025-09-21",52
"2025-09-28",51
"2025-10-05",52
"2025-10-12",49
"2025-10-19",51
"2025-10-26",43
"2025-11-02",48
"2025-11-09",48
"2025-11-16",51
"2025-11-23",55
"2025-11-30",49
"2025-12-07",50
"2025-12-14",48
"2025-12-21",45
"2025-12-28",56
"2026-01-04",64
"2026-01-11",70
"2026-01-18",68
"2026-01-25",67
"2026-02-01",87
"2026-02-08",100
"2026-02-15",97
"2026-02-22",84
"2026-03-01",65
"2026-03-08",62
"2026-03-15",63
"2026-03-22",57
"2026-03-29",59
"2026-04-05",61
"2026-04-12",60
"2026-04-19",58
"2026-04-26",58
"2026-05-03",62
